"CONTRATO";"OBJETO_CONTRATO";"NUMERO_ADVERTENCIA";"DATA_ADVERTENCIA";"DESCRICAO_ADVERTENCIA";"MOTIVO_ADVERTENCIA";"SOLICITACAO_ADVERTENCIA"
CT-00015/2022;LOTE 15 - TURVO E TIMBÉ DO SUL;1;2022-04-20 00:00:00;Atraso na entrega de relatório;Não foi entregue o Relatório de Acompanhamento 02 da fase de anteprojeto até o dia 16/04/22, conforme previsto no cronograma do contrato e da Ordem de Serviço n.° 16/2022 com início em 17 de janeiro de 2022. Ademais, foi questionado a empresa contratada por meio de correio eletrônico quanto a data de entrega do relatório, porém a mesma se manteve inerte. Ademais, não foi apresentado o relatório de Pré-Análise corrigido conforme o memorial de análise.;que a empresa contratada apresente o Relatório de Acompanhamento 02 e o Relatório de Pré-Análise corrigido, bem como cumprimento dos prazos do contrato caso contrário serão aplicadas as penalidades previstas.
CT-00017/2022;LOTE 17 - URUSSANGA;1;2022-04-20 00:00:00;Atraso na Entrega do Anteprojeto;Não foi entregue o Anteprojeto até o dia 17/04/22, conforme previsto no cronograma do contrato e da Ordem de Serviço n.° 18/2022 com início em 17 de janeiro de 2022. Ademais, foi questionado a empresa contratada por meio de correio eletrônico qual seria a data de entrega do Anteprojeto, porém a mesma se manteve inerte. Ademais, não foi apresentado o relatório de Pré-Análise corrigido conforme o memorial de análise.;Que a empresa contratada apresente o Anteprojeto e o Relatório de Pré-Análise corrigido, bem como o cumprimento dos prazos do contrato, pois caso contrário serão aplicadas as penalidades previstas.
PR-00013/2022/SED;MANUTENÇÃO BEM PÚBLICO - ADR DE ITUPORANGA;1;2022-03-08 00:00:00;Atraso para início e baixo ritmo de execução;"O.S. 02 - Autorizada para execução 11/02/22, não iniciou os serviços; O.S. 03 ? Autorizada para execução 14/02/22, não iniciou os serviços; O.S. 04 - Autorizada para execução 14/02/22, não iniciou os serviços; O.S. 05 ? Autorizada para execução 15/02/2022  dias, não iniciou os serviços; O.S. 06 ? Autorizada para execução 16/02/22, não iniciou os serviços;  O.S. 07 ? Autorizada para execução 16/02/22, não iniciou os serviços; O.S. 08 ? Autorizada para execução 16/02/22, não iniciou os serviços; O.S. 09 ? Autorizada para execução 16/02/22, não iniciou os serviços; O.S. 10 ? Autorizada para execução 22/02/22, não iniciou os serviços;  O.S. 11 ? Autorizada para execução 22/02/2022, não iniciou os serviços; O.S. 10 ? Autorizada para execução 22/02/2022, não iniciou os serviços; O.S. 13 ? Autorizada para execução 25/02/22, não iniciou os serviços; O.S. 15 ? Autorizada para execução 25/02/22 , não iniciou os serviço ;  O.S. 16 ? Autorizada para execução 25/02/22, não iniciou os serviços.";Apresentar justificativas técnicas quanto ao atraso, para análise da equipe de fiscalização. Bem como as datas previstas para início e conclusão das Ordens de Serviço citadas.
CT-00005/2022/SSP-FMPC;ACADEPOL-ACADEMIA DE POLICIA CIVIL;1;2022-05-24 00:00:00;Atraso na entrega de projetos;"Em virtude do atraso da entrega do projeto executivo conforme estabelecido pelo ""PLANO DE TRABALHO rev 01"" apresentado pela Contratada, a qual findou-se no dia 20/05/2022, adverte-se a Empresa. Os serviços de contrato estabelecem a entrega de: Projeto arquitetônico / reforma e readequação do existente, Projeto estrutural, Projeto Hidro-Sanitario, Projeto Elétrico, Projeto Rede Logica, Projeto Prevenção Incêndio Completo, Projeto de Ar Condicionado/Climatização/Refrigeração. ";Solicita-se a justificativa, se houver, para o atraso e bem como a apresentação dos projetos complementares e do novo plano de trabalho para análise da comissão de fiscalização até o dia 30/05/2022.
CT-00041/2022/SSP-FUMCBM;CORPO DE BOMBEIROS MILITAR;1;2022-05-26 00:00:00;ADVERTÊNCIA SOBRE ATRASO DE OBRA;ATRASO DE OBRA BASEADO NO CRONOGRAMA EM RELAÇÃO AO GRUPO DE COBERTURA E PROTEÇÕES.;"Segundo o cronograma da obra, havia a previsão de execução de 20 % de execução da cobertura nos primeiros trinta dias de obra (Ordem de serviço no dia 25/04/2022) e até o momento não foi executado. Notifica-se a Contratada sobre o Contrato acertado:

CLÁUSULA QUINTA - MULTAS E OUTRAS SANÇÕES
MULTAS DE MORA:
A CONTRATADA fica sujeita a multa de 0,33% (zero, trinta e três por cento) por dia de atraso, na entrega do objeto ou execução de serviços, calculado sobre o valor correspondente à parte a inadimplente, até o limite de 9,9% (nove, nove por cento).



"
CT-00135/2022/SED;EEB DOM JAIME DE BARROS CÂMARA;1;2022-05-24 00:00:00;Advertência 1;Ritmo lento na execução da obra.;Decorridos 60 dias da entrega da Ordem de Seviço, o volume de serviços executados está muito baixo, devendo a empresa aumentar o número de empregados para acelerar os trabalhos para sincronizar e cumprir o Cronograma de Execução.
CT-00176/2022/SES-FESAUDE;HOSPITAL REGIONAL HANS DIETER SCHMIDT;1;2022-05-17 00:00:00;Não cumprimento de Ordem de Serviço;Na data de 02/05/2022 foi emitida a ORDEM DE SERVIÇO Nº 012/GEROP /SGE/2022. A empresa Souza S. Business acusou o recebimento da ordem de serviço na data de 04/05/2022 com a ciência do início da obra em até 05 (cinco) dias, ou seja, deveria iniciar os trabalhos até o dia 09/05/2022, o que até a presente data não ocorreu.;"Solicitamos o atendimento imediato à referida ordem de serviço emitida. 
O não atendimento poderá acarretar nas sanções cabíveis ao contrato 176/2022."
CT-00176/2022/SES-FESAUDE;HOSPITAL REGIONAL HANS DIETER SCHMIDT;2;2022-05-17 00:00:00;Não apresentação de ART de execução;"A empresa Souza S. Business Ltda não apresentou a ART de execução, referente ao contrato 176/2022. 
";"Solicitamos a imediata apresentação da ART de execução.
Para início dos trabalhos, é indispensável a apresentação da ART de execução, emitida pelo profissional responsável da empresa executora.
A não apresentação poderá acarretar nas sanções cabíveis ao contrato 176/2022. "
CT-00010/2022/FCEE;FUNDAÇÃO CATARINENSE DE EDUCAÇÃO ESPECIAL;1;2022-06-01 00:00:00;Complementação da documentação da subcontratada;A respeito da documentação da empresa UNIBASE, subcontratada da Construtora LG, apresentada à Comissão de Fiscalização apenas em 23 de maio de 2022, por intermédio da FCEE/DIAD/SEENG, verificamos que o conjunto não preenche integralmente os requisitos expressos no Contrato CT-00010/2022/FCEE e no Edital do RDC nº 193/2021, a saber: não comprova a qualificação técnica da empresa, pois não apresenta CAT ou outro documento equivalente que ateste ter aquela empresa executado serviço assemelhado ao que agora executa. Verificamos, ainda, que a única ART constante no conjunto não trata da execução de fundação profunda, serviço para o qual a UNIBASE foi subcontratada.;"Solicitamos que a Construtora LG apresente os seguintes documentos: a) CAT ou outro documento que ateste a qualificação técnica da empresa UNIBASE para executar serviço assemelhado ao desta subcontratação, isto é, fundações profundas do mesmo tipo que agora executa; b) que a empresa UNIBASE emita ART de responsabilidade técnica de execução do serviço por ela realizado, haja vista ter sido subcontratada para tal serviço. O atendimento a esses encaminhamentos não anula o fato de que a documentação integral deveria ter sido enviada à Comissão de Fiscalização antes do início dos trabalhos, o que não foi respeitado. Esta notificação NÃO CONSTITUI ADVERTÊNCIA no sentido de sanção administrativa."
CT-00025/2021;TRECHO: CURITIBANOS - MONTE CASTELO;1;2021-07-29 00:00:00;Atraso no início dos serviços de sondagens;os serviços de sondagem tiveram início na data de 29/07/2021, faltando 90 dias para o término do contrato (duração total de 240 dias) e 30 dias para entrega do RAP 05, etapa na qual o anteprojeto já deveria estar em etapas avançadas, com as soluções de projeto já propostas;que a empresa tome atenção aos prazos contratuais, sob risco de atraso contratual e penalidades
CT-00025/2021;TRECHO: CURITIBANOS - MONTE CASTELO;2;2021-09-08 00:00:00;Poços de inspeção abertos;Manter poços de inspeção abertos na rodovia (sem a última camada), que segundo relatos da Polícia Rodoviária, esta situação vem ocorrendo há pelo menos 10 dias. Na data de hoje foi feita nova verificação e ainda havia poços abertos.;Fechar os poços que encontram-se inacabados imediatamente e quanto aos novos poços fazer o fechamento no mesmo dia da abertura.
CT-00020/2021;CAMPO ÊRE - PALMA SOLA - FLOR DA SERRA DO SUL;1;2021-08-12 00:00:00;Adequação do fechamento dos poços de inspeção;Foi observado que cerca de 22 poços de inspeção realizados no pavimento existente estão com fechamento inadequado. Os poços observados estão parcialmente ou completamente sem revestimento asfáltico, o que possibilita o acúmulo de água na superfície do pavimento e infiltração nas camadas inferiores.;Solicitamos que sejam realizadas as correções necessárias, com o fechamento adequado dos poços de inspeção, inclusive com compactação das camadas inferiores se necessário.
CT-00020/2021;CAMPO ÊRE - PALMA SOLA - FLOR DA SERRA DO SUL;2;2021-09-09 00:00:00;Atraso na entrega do RAP-04;o Relatório de Acompanhamento 04 deveria ter sido entregue em 31/08/2021 (120 dias corridos da Ordem de Serviço);que a empresa se atente aos prazos do contrato e entregue o relatório de acompanhamento 04 até o dia 10/09/2021, tendo em vista que o mesmo já se encontra com 9 dias de atraso
