"CONTRATO";"OBJETO_CONTRATO";"NUMERO_SEQUENCIAL_PARALISACAO";"DATA_PARALISACAO";"TERMO_PARALISACAO";"DATA_REINICIO";"TERMO_REINICIO";"NUMERO_DIAS_PARALISADOS";"JUSTIFICATIVA_PARALISACAO"
CT-00017/2022;LOTE 17 - URUSSANGA;1;2022-05-17 00:00:00;"040/2022";;;20;
CT-00018/2022;LOTE 18 - PESCARIA BRAVA;1;2022-05-16 00:00:00;"038/2022";;;21;
CT-00019/2022;BOM JARDIM DA SERRA - LAURO MULLER;1;2022-02-06 00:00:00;"031/2022";;;120;
CT-00020/2022;SISTEMA VIÁRIO - ESTACIONAMENTO (CEASA);1;2022-04-11 00:00:00;"027/2022";;;56;
CT-00030/2022/SIE;OBRAS PPD AEROPORTO DIONÍSIO CERQUEIRA;1;2022-03-16 00:00:00;"006/2022/DTRA/SIE";;;82;
CT-00039/2022;MANUTENÇÃO DESCONTINUADA LITORAL LOTE4;1;2022-05-02 00:00:00;"030/2022";;;35;
CT-00050/2022;CONTENÇÃO DE TALUDE SC410 - CANELINHA;1;2022-03-14 00:00:00;"12/2022";2022-04-07 00:00:00;"009/2022";24;
CT-00028/2022/SES-FESAUDE;EDIFÍCIO HALLEY;1;2022-03-01 00:00:00;"001";2022-04-01 00:00:00;"001/22";31;
CT-00005/2022/SSP-FMPC;ACADEPOL-ACADEMIA DE POLICIA CIVIL;1;2022-05-24 00:00:00;"1";;;13;
CT-00003/2021;SC-160 - BOM JESUS DO OESTE - SERRA ALTA - BR-282;1;2022-03-15 00:00:00;"021/2022";;;83;
CT-00004/2021;TRECHO: ENTR BR-280 - DISTRITO DE SANTA CRUZ TIMBO;1;2021-08-18 00:00:00;"018/2021";2022-02-18 00:00:00;"008/2022";184;
CT-00006/2021;IMBUIA - ENTR. SC350 KM 404+037 ITUPORANGA;1;2021-07-09 00:00:00;"014/2021";2021-09-08 00:00:00;"016/2021";61;
CT-00013/2021;RODOVIA SC - 108, TRECHO: ANGELINA - MAJOR GERCINO;1;2022-02-17 00:00:00;"007/2022";;;109;
CT-00019/2021;AURORA - ITUPORANGA - ENTRONC. ACESSO A IMBUIA;1;2021-11-01 00:00:00;"035/2021";2022-02-17 00:00:00;"006/2022";108;
CT-00025/2021;TRECHO: CURITIBANOS - MONTE CASTELO;1;2022-02-14 00:00:00;"005/2022";2022-05-16 00:00:00;"021/2022";91;
CT-00021/2021;TRECHO: PINHALZINHO - SÃO CARLOS;1;2022-05-09 00:00:00;"035/2022";;;28;
CT-00027/2021;TRECHO: CAMPO ERÊ - BOM JESUS DO OESTE;1;2022-01-21 00:00:00;"003/2022";2022-02-18 00:00:00;"007/2022";28;
CT-00027/2021;TRECHO: CAMPO ERÊ - BOM JESUS DO OESTE;2;2022-05-06 00:00:00;"034/2022";;;31;
CT-00038/2021/SIE;SIERVIÇOS DE INS. SIS. AEROPORTUÁRIOS;1;2021-05-13 00:00:00;"003/2021/DTRA/SIE";2021-11-18 00:00:00;"004/2021/DTRA/SIE";189;
CT-00020/2021;CAMPO ÊRE - PALMA SOLA - FLOR DA SERRA DO SUL;1;2021-03-16 00:00:00;"003/2021";2021-05-03 00:00:00;"005/2021";48;
CT-00020/2021;CAMPO ÊRE - PALMA SOLA - FLOR DA SERRA DO SUL;2;2022-01-25 00:00:00;"004/2022";2022-03-29 00:00:00;"013/2022";63;
CT-00020/2021;CAMPO ÊRE - PALMA SOLA - FLOR DA SERRA DO SUL;3;2022-05-01 00:00:00;"042/2022";;;36;
CT-00032/2021;SC-386 - MONDAI - LOTE 2;1;2021-06-01 00:00:00;"008/2021";2021-08-02 00:00:00;"008/2021";62;
CT-00032/2021;SC-386 - MONDAI - LOTE 2;2;2021-09-01 00:00:00;"025/2021";2022-03-07 00:00:00;"012/2022";187;
CT-00032/2021;SC-386 - MONDAI - LOTE 2;3;2022-04-01 00:00:00;"025/2022";;;66;
CT-00023/2021;SC-155 EM BOM JESUS E BR-282 - XANXERÊ;1;2021-03-29 00:00:00;"005/2021";2021-05-03 00:00:00;"007/2021";35;
CT-00023/2021;SC-155 EM BOM JESUS E BR-282 - XANXERÊ;2;2021-12-27 00:00:00;"040/2021";2022-02-08 00:00:00;"005/2022";43;
CT-00023/2021;SC-155 EM BOM JESUS E BR-282 - XANXERÊ;3;2022-04-08 00:00:00;"026/2022";;;59;
CT-00033/2021;SC355 FRAIBURGO - MONTE CARLOS - BR470 - BRUNÓPOLI;1;2021-03-29 00:00:00;"004/2021";2021-05-03 00:00:00;"006/2021";35;
CT-00033/2021;SC355 FRAIBURGO - MONTE CARLOS - BR470 - BRUNÓPOLI;2;2022-02-25 00:00:00;"015/2022";;;101;
CT-00035/2021;TRECHO: XANXERE - XAVANTINA;1;2022-02-21 00:00:00;"008/2022";2022-04-12 00:00:00;"017/2022";50;
CT-00029/2021;TRECHO: AGUAS MORNAS - SÃO BONIFÁCIO;1;2021-07-16 00:00:00;"013/2021";2021-12-17 00:00:00;"001/2022";154;
CT-00030/2021;TRECHO: JARAGUÁ DO SUL - POMERODE;1;2021-09-01 00:00:00;"024/2021";2022-02-01 00:00:00;"002/2022";153;
CT-00030/2021;TRECHO: JARAGUÁ DO SUL - POMERODE;2;2022-02-22 00:00:00;"011/2022";;;104;
CT-00031/2021;TRECHO: RIO MAINA - MORRO CARAVAGGIO - CRICIÚMA;1;2021-08-13 00:00:00;"015/2021";2021-11-22 00:00:00;"024/2021";101;
CT-00042/2021/SIE;ALÇA DE ACESSO CCI - AEROPORTO DE JAGUARUNA;1;2021-06-11 00:00:00;"4/2021/DTRA/SIE";2021-08-09 00:00:00;"2/2021/DTRA/SIE";59;
CT-00049/2021;ELBABORAÇÃOO DE PROJETO E EXECUÇÃO: SC-442;1;2022-05-12 00:00:00;"008/2022";;;25;
CT-00040/2021/SIE;REVITALIZAÇÃO SINALIZAÇÃO HORIZONTAL AER. JAGUARUN;1;2021-11-12 00:00:00;"08/2021";2022-04-20 00:00:00;"005/2022/DTRA/SIE";159;
CT-00046/2021;SC-407 - TRECHO: BIGUAÇU - ANTÔNIO CARLOS;1;2021-06-01 00:00:00;"009/2021";2021-11-03 00:00:00;"020/2021";155;
CT-00044/2021;SC403 - TRECHO: SC401 - CANASVIEIRAS;1;2021-08-02 00:00:00;"017/2021";2021-10-04 00:00:00;"015/2021";63;
CT-00056/2021;SC-486 - TRECHO: SC-108 BRUSQUE - BOTUVERA;1;2021-08-01 00:00:00;"019/2021";2021-11-16 00:00:00;"023/2021";107;
CT-00057/2021;ACESSO AO BETO CARRERO - MUNICIPIO DE PENHA;1;2021-08-01 00:00:00;"020/2021";2021-10-01 00:00:00;"018/2021";61;
CT-00058/2021;SC-350 TRECHO: LAURENTINO - BR470;1;2021-08-01 00:00:00;"021/2021";;;309;
CT-00059/2021;PONTE SOBRE RIO JACUTINGA SC154 - ARABUTÃ;1;2021-07-14 00:00:00;"012/2021";2022-01-01 00:00:00;"008/2022";171;
CT-00051/2021;PROJETO PPCI;1;2021-06-29 00:00:00;"1º Termo Paralisação";2021-07-07 00:00:00;"1º Termo Reinício";8;
CT-00051/2021;PROJETO PPCI;2;2021-09-03 00:00:00;"2 Termo Paralisação";2021-12-03 00:00:00;"2 Termo de Reinício";91;
CT-00064/2021;ALDEIA BUGIO AO MUNICÍPIO DE JOSÉ BOITEUX;1;2021-09-30 00:00:00;"026/2021";2022-02-24 00:00:00;"011/2022";147;
CT-00065/2021/SIE;RECOMPOSIÇÃO ELÉTRICA AEROPORTO DE CORREIA PINTO;1;2021-10-25 00:00:00;"07/2021/DTRA/SIE";2022-03-31 00:00:00;"4";157;
CT-00086/2021/SIE;READEQUAÇÃO DE CERCA AEROPORTO DE CORREIA PINTO;1;2021-12-28 00:00:00;"009/2021/DTRA/SIE";2022-01-14 00:00:00;"002/2022/DTRA/SIE";17;
CT-00048/2021;MANUT PONTE RIO ARIRANHA E RIO ENGANO;1;2022-02-17 00:00:00;"006/2022";;;109;
CT-00080/2021;SINALIZAÇÃO SC 417 BR101 - GARUVA;1;2021-07-29 00:00:00;"002/2021";2021-10-06 00:00:00;"004/2021";69;
CT-00080/2021;SINALIZAÇÃO SC 417 BR101 - GARUVA;2;2021-12-29 00:00:00;"007/2021";2022-03-08 00:00:00;"005/2022";69;
CT-00080/2021;SINALIZAÇÃO SC 417 BR101 - GARUVA;35;2022-06-01 00:00:00;"35";;;5;
CT-00091/2021;SC-108: TRECHO: BR282 - CATANDUVAS - JABORÁ;1;2022-02-01 00:00:00;"010/2022";2022-06-02 00:00:00;"027/2022";121;
CT-00096/2021;SUPERVISÃO ACESSO A MIRIM DOCE;1;2021-12-01 00:00:00;"004/2021";2022-02-01 00:00:00;"001/222";62;
CT-00061/2021/SIE;INSTAÇÃO CFTV - AEROPORTO DE CORREIA PINTO;1;2021-08-12 00:00:00;"05/2021/DTRA";;;298;
CT-00102/2021;RECUPERAÇÃO ACESSO A MIRIM DOCE;1;2021-11-04 00:00:00;"015/2021";2022-02-01 00:00:00;"004/2022";89;
CT-00124/2021;RESTAURAÇÃO SC 283-CHAPECÓ ARVOREDO;1;2021-11-22 00:00:00;"016/2021";2022-03-07 00:00:00;"007/2022";105;
CT-00112/2021;CICLOVIA SC-406: ENTR. SC403 INGLESES - B DA LAGOA;1;2022-05-17 00:00:00;"043/2022";;;20;
CT-00115/2021;CICLOVIA NA SC402 - ENTR. A SC401 (JURERE);1;2022-03-14 00:00:00;"019/2022";;;84;
CT-00116/2021;CICLOVIA NA SC-400 - ENTR. 1º ACESSO DE JURERÊ;1;2022-03-14 00:00:00;"020/2022";;;84;
CT-00104/2021/SIE;EXECUÇÃO DE EVTEA - FERRY ITAJAÍ/NAVEGANTES;1;2022-02-25 00:00:00;"005/2022/DTRA/SIE";2022-05-16 00:00:00;"008/2022/DTRA/SIE";80;
CT-00117/2021;CICLOVIA NA SC404 - ITACORUBI ATÉ O MORRO DA LAGOA;1;2022-04-01 00:00:00;"030/2022";2022-04-19 00:00:00;"020/2022";18;
CT-00118/2021;RESTAURAÇÃO DA SC404 NO BAIRRO LAGOA DA CONCEIÇÃO;1;2021-12-06 00:00:00;"034/2021";2022-01-17 00:00:00;"001/2022";42;
CT-00118/2021;RESTAURAÇÃO DA SC404 NO BAIRRO LAGOA DA CONCEIÇÃO;2;2022-02-16 00:00:00;"006/2022";;;110;
CT-00135/2021;PROJETO PONTE RIO PATROCINIO SC-120;1;2021-09-06 00:00:00;"003/2021";2021-10-18 00:00:00;"005/2021";42;
CT-00103/2021;BR163: SÃO JOSÉ DO CEDRO - PRINCESA;1;2022-01-07 00:00:00;"002/2022";;;150;
CT-00110/2021;SC283 SEARA - SC154 ITÁ;1;2022-03-09 00:00:00;"017/2022";;;89;
CT-00121/2021;RUA DONA FRANCISCA - RUA EDMUNDO DOUBRAWA;1;2022-05-03 00:00:00;"037/2022";;;34;
CT-00122/2021;SC-114: ENTR. BR-470 - OTACÍLIO COSTA;1;2022-02-25 00:00:00;"014/2022";2022-04-12 00:00:00;"016/2022";46;
CT-00123/2021;PÉ DA SERRA DO RIO DO RASTRO - LAURO MULLER;1;2022-03-11 00:00:00;"022/2022";2022-04-06 00:00:00;"014/2022";26;
CT-00123/2021;PÉ DA SERRA DO RIO DO RASTRO - LAURO MULLER;2;2022-05-26 00:00:00;"041/2022";;;11;
CT-00130/2021;SC110: ITUPORANGA - PETROLÂNDIA;1;2022-05-04 00:00:00;"032/2022";;;33;
CT-00132/2021;SC477: TRECHO BENEDITO NOVO - INDAIAL;1;2022-05-05 00:00:00;"033/2022";;;32;
CT-00136/2021;SC-108: BRUSQUE - SÃO JOÃO BATISTA;1;2021-12-06 00:00:00;"031/2021";2022-05-17 00:00:00;"023/2022";162;
CT-00137/2021;SC-407: BIGUAÇU - ANTÔNIO CARLOS;1;2021-12-10 00:00:00;"039/2021";;;178;
CT-00138/2021;SC-114: TAIÓ - POUSO REDONDO;1;2021-12-06 00:00:00;"032/2021";2022-05-17 00:00:00;"024/2022";162;
CT-00139/2021;SC-108: RANCHO QUEIMADO - ANITÁPOLIS;1;2021-12-10 00:00:00;"036/2021";2022-04-25 00:00:00;"022/2022";136;
