"CONTRATO";"OBJETO_CONTRATO";"DATA_INICIO";"DATA_TERMINO";"NUMERO_CRONOGRAMA";"DESCRICAO_CRONOGRAMA";"DATA_INICIO_CRONOGRAMA";"NUMERO_DIAS_CRONOGRAMA";"DATA_TERMINO_CRONOGRAMA";"OBSERVACAO_CRONOGRAMA";"VALOR_CONTRATO";"TIPO_CRONOGRAMA"
CT-00002/2022;LOTE 2 - OESTE - CHAPECÓ;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;133489.45;MENSAL
CT-00001/2022;LOTE 01 - CONCÓRDIA E NOVA BRASILIA;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;116954.73;MENSAL
CT-00003/2022;LOTE 03 - ABELARDO LUZ;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;137643.76;MENSAL
CT-00004/2022;LOTE 04- BOM JESUS;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;69109.77;MENSAL
CT-00005/2022;LOTE 05- CORONEL FREITAS;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;121120.59;MENSAL
CT-00006/2022;LOTE 6 - IPUAÇU;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;140058.07;MENSAL
CT-00007/2022;LOTE 7 - IPIRA;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;207457.68;MENSAL
CT-00008/2022;LOTE 8 - IRANI;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;137976.58;MENSAL
CT-00009/2022;LOTE 09 - SÃO DOMINGOS;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;151112.76;MENSAL
CT-00010/2022;LOTE 10 - CRICIÚMA;2022-01-17 00:00:00;2022-07-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;180;2022-07-16 00:00:00;;203590.39;MENSAL
CT-00011/2022;LOTE 11 - BRAÇO DO NORTE;2022-01-17 00:00:00;2022-10-14 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;144990.71;MENSAL
CT-00012/2022;LOTE 12 - FORQUILINHA;2022-01-17 00:00:00;2022-07-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;180;2022-07-16 00:00:00;;243336.97;MENSAL
CT-00013/2022;LOTE 13- JAGUARUNA;2022-01-17 00:00:00;2022-07-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;180;2022-07-16 00:00:00;;225429.71;MENSAL
CT-00014/2022;LOTE 14 - MORRO DA FUMAÇA;2022-01-17 00:00:00;2022-07-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;180;2022-07-16 00:00:00;;360060.27;MENSAL
CT-00015/2022;LOTE 15 - TURVO E TIMBÉ DO SUL;2022-01-17 00:00:00;2022-07-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;180;2022-07-16 00:00:00;;299019.07;MENSAL
CT-00016/2022;LOTE 16 - NOVA BRASÍLIA (IMBITUBA);2022-01-17 00:00:00;2022-07-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;180;2022-07-16 00:00:00;;103608.47;MENSAL
CT-00017/2022;LOTE 17 - URUSSANGA;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;156958.98;MENSAL
CT-00018/2022;LOTE 18 - PESCARIA BRAVA;2022-01-17 00:00:00;2022-06-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;150;2022-06-16 00:00:00;;158357.41;MENSAL
CT-00019/2022;BOM JARDIM DA SERRA - LAURO MULLER;2022-01-17 00:00:00;2022-02-16 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;30;2022-02-16 00:00:00;;31917.11;MENSAL
CT-00020/2022;SISTEMA VIÁRIO - ESTACIONAMENTO (CEASA);2022-01-17 00:00:00;2022-04-17 00:00:00;0;Cronograma Inicial;2022-01-17 00:00:00;60;2022-03-18 00:00:00;;63105.63;MENSAL
CT-00020/2022;SISTEMA VIÁRIO - ESTACIONAMENTO (CEASA);2022-01-17 00:00:00;2022-04-17 00:00:00;1;Cronograma 1;2022-03-15 00:00:00;76;2022-04-17 00:00:00;;63105.63;MENSAL
CT-00022/2022;TAPA BURACO LITORAL;2022-01-18 00:00:00;2024-01-18 00:00:00;0;Cronograma Inicial;2022-01-18 00:00:00;730;2024-01-18 00:00:00;;11913604.15;MENSAL
CT-00025/2022;CONSERVA EXTREMO OESTE - LOTE 02;2022-02-21 00:00:00;2024-02-21 00:00:00;0;Cronograma Inicial;2022-02-21 00:00:00;730;2024-02-21 00:00:00;;14398999.91;MENSAL
CT-00026/2022;CONSERVA EXTREMO OESTE - LOTE 03;2022-02-21 00:00:00;2024-02-21 00:00:00;0;Cronograma Inicial;2022-02-21 00:00:00;730;2024-02-21 00:00:00;;13873080.31;MENSAL
CT-00032/2022;MONITORAMENTO FAUNA E LEVANTAMENTO ÁREAS CRÍTICAS;2022-03-07 00:00:00;2023-03-07 00:00:00;0;Cronograma Inicial;2022-03-07 00:00:00;365;2023-03-07 00:00:00;;269998.61;MENSAL
CT-00049/2022;RETALUDAMENTO SC 281 - SÃO PEDRO DE ALCANTARA;2022-02-25 00:00:00;2022-06-25 00:00:00;0;Cronograma Inicial;2022-02-25 00:00:00;120;2022-06-25 00:00:00;;162724.22;MENSAL
CT-00049/2022;RETALUDAMENTO SC 281 - SÃO PEDRO DE ALCANTARA;2022-02-25 00:00:00;2022-06-25 00:00:00;1;"1ª ta";2022-04-08 00:00:00;86;2022-06-25 00:00:00;;173056.79;MENSAL
CT-00039/2022;MANUTENÇÃO DESCONTINUADA LITORAL LOTE4;2022-03-07 00:00:00;2022-06-05 00:00:00;0;Cronograma Inicial;2022-03-07 00:00:00;90;2022-06-05 00:00:00;;3404640.22;MENSAL
CT-00038/2022;MANUTENÇÃO DESCONTINUADA LITORAL LOTE3;2022-03-15 00:00:00;2022-07-13 00:00:00;0;Cronograma Inicial;2022-03-15 00:00:00;120;2022-07-13 00:00:00;;7219400.11;MENSAL
CT-00050/2022;CONTENÇÃO DE TALUDE SC410 - CANELINHA;2022-02-25 00:00:00;2022-09-17 00:00:00;0;Cronograma Inicial;2022-02-25 00:00:00;180;2022-08-24 00:00:00;;3215247.34;MENSAL
CT-00041/2022;VIADUTO RUA GUILHERME SCHARF  EXT 72,80 M X 23,90;2022-03-17 00:00:00;2023-03-12 00:00:00;0;Cronograma Inicial;2022-03-17 00:00:00;360;2023-03-12 00:00:00;;6355100.79;MENSAL
CT-00048/2022;CONSERVA CRSUL;2022-03-14 00:00:00;2024-03-13 00:00:00;0;Cronograma Inicial;2022-03-14 00:00:00;730;2024-03-13 00:00:00;;55862654.03;MENSAL
CT-00056/2022;INTERCESÃO DO KM 4,8 EM INGLESES/FLORIANÓPOLIS;2022-05-09 00:00:00;2022-11-05 00:00:00;0;Cronograma Inicial;2022-05-09 00:00:00;180;2022-11-05 00:00:00;;3612931.13;MENSAL
CT-00052/2022;CONSERVA VALE;2022-03-16 00:00:00;2024-03-15 00:00:00;0;Cronograma Inicial;2022-03-16 00:00:00;730;2024-03-15 00:00:00;;71437712.68;MENSAL
CT-00054/2022;ROÇADA CRVALE;2022-03-16 00:00:00;2024-03-15 00:00:00;0;Cronograma Inicial;2022-03-16 00:00:00;730;2024-03-15 00:00:00;;7428286.66;MENSAL
CT-00043/2022;SC-281 TRECHO, SÃO PEDRO DE ALCÂNTARA - ANGELINA;2022-05-14 00:00:00;2024-08-31 00:00:00;0;Cronograma Inicial;2022-05-14 00:00:00;840;2024-08-31 00:00:00;;128589714.84;MENSAL
CT-00064/2022;OBRAS DE CONTENÇÃO DE TALUDES SC108 MAJOR GERCINO;2022-03-29 00:00:00;2022-09-25 00:00:00;0;Cronograma Inicial;2022-03-29 00:00:00;180;2022-09-25 00:00:00;;533565.49;MENSAL
CT-00077/2022;OBRA REMANESCENTE PASSARELA PARA PEDESTRE RATONES;2022-05-09 00:00:00;2022-11-05 00:00:00;0;Cronograma Inicial;2022-05-09 00:00:00;180;2022-11-05 00:00:00;;2300142.01;MENSAL
CT-00044/2022;RODOVIA SC-150 TRECHO PIRATUBA - ZÓRTEA;2022-04-22 00:00:00;2023-12-13 00:00:00;0;Cronograma Inicial;2022-04-22 00:00:00;600;2023-12-13 00:00:00;;74002053.8;MENSAL
CT-00085/2022;RECUP. PONTE RIO TRAVESSÃO;2022-04-12 00:00:00;2022-10-09 00:00:00;0;Cronograma Inicial;2022-04-12 00:00:00;180;2022-10-09 00:00:00;;540659.58;MENSAL
CT-00088/2022/SIE;AEROPORTO DO PLANALTO SERRANO;2022-04-14 00:00:00;2022-06-13 00:00:00;0;Cronograma Inicial;2022-04-14 00:00:00;60;2022-06-13 00:00:00;Cronograma Físico e Financeiro Referente a Dispensa de Licitação;245988.05;MENSAL
CT-00063/2022;CONTORNO ANÉL VIÁRIO DE CRICIÚMA SEGMENTO 3;2022-05-06 00:00:00;2023-05-01 00:00:00;0;Cronograma Inicial;2022-05-06 00:00:00;360;2023-05-01 00:00:00;;20812123.72;MENSAL
CT-00078/2022;RECUPERAÇÃO EMERGENCIAL PONTE SOBRE O RIO TAVARES;2022-05-02 00:00:00;2022-06-01 00:00:00;0;Cronograma Inicial;2022-05-02 00:00:00;30;2022-06-01 00:00:00;;65131.6;MENSAL
CT-00079/2022;DESLIZAMENTOS TALUDES ROD. SC-477 - DR. PEDRINHO;2022-05-16 00:00:00;2022-11-12 00:00:00;0;Cronograma Inicial;2022-05-16 00:00:00;180;2022-11-12 00:00:00;;0;MENSAL
CT-00111/2022;ASSESSORAMENTO TÉCNICO PARA APOIO À DFIS;2022-06-01 00:00:00;2024-11-17 00:00:00;0;Cronograma Inicial;2022-06-01 00:00:00;900;2024-11-17 00:00:00;;3150000;MENSAL
CT-00099/2022;RECUP. BLOCOS PONTES COLOMBO SALLES E PEDRO IVO;2022-06-01 00:00:00;2023-10-24 00:00:00;0;Cronograma Inicial;2022-06-01 00:00:00;510;2023-10-24 00:00:00;;0;MENSAL
CT-00118/2022;SUPERVISÃO TRECHO: SÃO P. DE ALCÂNTARA - ANGELINA;2022-05-23 00:00:00;2024-10-09 00:00:00;0;Cronograma Inicial;2022-05-23 00:00:00;870;2024-10-09 00:00:00;;0;MENSAL
CT-00116/2022;SUPERVISÃO OBRAS DE CONTENÇÃO AO ACESSO A IMBUIA;2022-05-23 00:00:00;2022-12-19 00:00:00;0;Cronograma Inicial;2022-05-23 00:00:00;210;2022-12-19 00:00:00;;0;MENSAL
CT-00132/2022;SUPERVISÃO DA INTERSEÇÃO DA SC-403 INGLESES/FPOLIS;2022-06-01 00:00:00;2022-11-28 00:00:00;0;Cronograma Inicial;2022-06-01 00:00:00;180;2022-11-28 00:00:00;;155499.99;MENSAL
CT-00021/2022/SED;EEB SANTO ANJO DA GUARDA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;300;2023-01-02 00:00:00;;3226666.48;MENSAL
CT-00091/2022/SED;E.E.B. MARILDA LÊNIA ARAÚJO;2022-03-08 00:00:00;2023-01-02 00:00:00;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;300;2023-01-02 00:00:00;;3226665.64;MENSAL
CT-00024/2022/SED;EEF BASICA LAUDELINO SE SOUZA MEDEIROS;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;210;2022-10-04 00:00:00;;2303332.18;MENSAL
CT-00023/2022/SED;EEB JUREMA CAVALLAZZI;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;300;2023-01-02 00:00:00;;3133332.26;MENSAL
CT-00015/2022/SED;EEB ERWIN RADTKE;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;300;2023-01-09 00:00:00;;2866393.62;MENSAL
CT-00014/2022/SED;E.E.B. DOMINGOS BARBOSA CABRAL;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;3027249.78;MENSAL
CT-00033/2022/SED;EEB CATEQUISTA JOANA PENDICA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3223209.9;MENSAL
CT-00027/2022/SED;EEB CAMPOS SALES;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;210;2022-10-06 00:00:00;;2303332.16;MENSAL
CT-00022/2022/SED;EEF SÃO CRISTÓVÃO;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-10 00:00:00;300;2023-01-04 00:00:00;;3206882.98;MENSAL
CT-00020/2022/SED;EEB LEOPOLDO KROPOWSKY;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-08 00:00:00;210;2022-10-04 00:00:00;;2288889.28;MENSAL
CT-00018/2022/SED;EEB ALDO CAMARA DA SILVA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3224863.9;MENSAL
CT-00017/2022/SED;EEB JOÃO TEIXEIRA NUNES;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-14 00:00:00;300;2023-01-08 00:00:00;;3226380.85;MENSAL
CT-00016/2022/SED;EEB CORA BATALHA DA SILVEIRA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-05-17 00:00:00;300;2023-03-13 00:00:00;;3047518.42;MENSAL
CT-00096/2022/SED;EEB  PROF. MARIA DO CARMO SOUZA;;;0;cronograma ;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476270.94;MENSAL
CT-00097/2022/SED;EEB PROFESSOR SILVEIRA DE MATOS;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.68;MENSAL
CT-00098/2022/SED;E.E.B. PROFESSORA MARCÍLIA DE OLIVEIRA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.68;MENSAL
CT-00099/2022/SED;EEB. ANTÔNIO COLONETTI;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-04-11 00:00:00;300;2023-02-05 00:00:00;;2904661.44;MENSAL
CT-00038/2022/SES;HOSPITAL E MATERNIDADE TEREZA RAMOS;2022-02-23 00:00:00;2022-06-23 00:00:00;0;Cronograma de execução do projeto;2022-02-23 00:00:00;120;2022-06-23 00:00:00;;54277.91;MENSAL
CT-00027/2022/SES-FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;;;0;Cronograma físico financeiro CT-27/2022;2022-03-15 00:00:00;90;2022-06-13 00:00:00;;63759.8;MENSAL
CT-00030/2022/SES-FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;;2023-02-09 00:00:00;0;Cronograma inicial;2022-02-14 00:00:00;360;2023-02-09 00:00:00;;1057477.11;MENSAL
CT-00030/2022/SES-FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;;2023-02-09 00:00:00;1;Pos aditivo 01;2022-03-22 00:00:00;324;2023-02-09 00:00:00;;1266803.44;MENSAL
CT-00028/2022/SES-FESAUDE;EDIFÍCIO HALLEY;;2022-04-19 00:00:00;0;Instalação elétrica dos elevadores do Anexo 1;2022-02-17 00:00:00;30;2022-03-19 00:00:00;;38667;MENSAL
CT-00028/2022/SES-FESAUDE;EDIFÍCIO HALLEY;;2022-04-19 00:00:00;1;Reinício das obras ;2022-04-01 00:00:00;18;2022-04-19 00:00:00;;38667;MENSAL
CT-00003/2022/SSP-FMPC;DELEGACIA DE POLICIA DE TROMBUDO CENTRAL;;;0;Cronograma Inicial;2022-03-28 00:00:00;30;2022-04-27 00:00:00;;6900;MENSAL
CT-00029/2022/SES-FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);;2022-08-20 00:00:00;0;Galeria para drenagem no Hospital Infantil.;2022-04-22 00:00:00;60;2022-06-21 00:00:00;;202877.12;MENSAL
CT-00029/2022/SES-FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);;2022-08-20 00:00:00;1;Cronograma 1 termo aditivo;2022-05-26 00:00:00;86;2022-08-20 00:00:00;;202877.12;MENSAL
CT-00002/2022/SSP-FMPC;DELEGACIA REG. DE POL. E CIRETRAN - CRICIÚMA;;;0;Cronograma Inicial;2022-03-14 00:00:00;90;2022-06-12 00:00:00;;38499.99;MENSAL
PR-00010/2022/SED;MANUTENÇÃO BEM PÚBLICO - ADR DE CAÇADOR;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-01-04 00:00:00;365;2023-01-04 00:00:00;;8279094.5;MENSAL
CT-00006/2022/SSP-FMPC;DELEGACIA DE POLÍCIA CIVIL  GRUPAMENTO POLÍCIA MILITAR;;;0;Cronograma Inicial;2022-02-14 00:00:00;150;2022-07-14 00:00:00;;14395.42;MENSAL
CT-00003/2022/IGP-FMPO;REGIONAL DA SAÚDE 1º CASA - PERÍCIA MÉDICA - 2º CASA;2022-02-18 00:00:00;2022-08-17 00:00:00;0;Cronograma 1;2022-02-18 00:00:00;180;2022-08-17 00:00:00;;38884.28;MENSAL
CT-00005/2022/SSP-FMPC;ACADEPOL-ACADEMIA DE POLICIA CIVIL;;2022-06-30 00:00:00;0;Cronograma Inicial;2022-03-02 00:00:00;120;2022-06-30 00:00:00;;40165.86;MENSAL
CT-00001/2022/SEA;CENTRO ADMINISTRATIVO DO ESTADO;;2022-09-24 00:00:00;0;Cronograma 01;2022-01-27 00:00:00;180;2022-07-26 00:00:00;;6478865.77;MENSAL
CT-00013/2022/SED;EEB SEARA  CEJA  UNIDADE DE ATENDIMENTO ADR-CONCÓRDIA;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-02-22 00:00:00;210;2022-09-20 00:00:00;;675713.45;MENSAL
CT-00122/2022/SED;EEB IMACULADA CONCEIÇÃO;2022-03-15 00:00:00;2022-10-11 00:00:00;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-15 00:00:00;210;2022-10-11 00:00:00;;2337518.1;MENSAL
CT-00114/2022/SED;EEB ELOISA MARIA PRAZERES DE FARIAS;;;0;CRONOGRAMA FISICO FINANCEIRO;2022-03-18 00:00:00;300;2023-01-12 00:00:00;;3476271.68;MENSAL
